year,month,date,station,hydsulph,unit,latitude_dd,longitude_dd,min_depth,max_depth
2019,10,10/6/2019,BYFJORDEN,11,umol/l,58.33333,11.88333,20,20
2019,10,10/6/2019,BYFJORDEN,130,umol/l,58.33333,11.88333,30,30
2019,10,10/6/2019,BYFJORDEN,158,umol/l,58.33333,11.88333,40,40
2019,10,10/6/2019,BYFJORDEN,300,umol/l,58.33333,11.88333,44,44
2019,10,10/6/2019,HAVSTENSFJORD,4,umol/l,58.3125,11.77333,30,30
2019,10,10/6/2019,HAVSTENSFJORD,4,umol/l,58.3125,11.77333,38,38
2019,9,9/1/2019,BYFJORDEN,110,umol/l,58.33333,11.88333,30,30
2019,9,9/1/2019,BYFJORDEN,165,umol/l,58.33333,11.88333,40,40
2019,9,9/1/2019,BYFJORDEN,173,umol/l,58.33333,11.88333,44,44
2019,8,8/5/2019,BYFJORDEN,103,umol/l,58.33333,11.88333,30,30
2019,8,8/5/2019,BYFJORDEN,205,umol/l,58.33333,11.88333,40,40
2019,8,8/5/2019,BYFJORDEN,300,umol/l,58.33333,11.88333,44,44
2020,10,10/5/2020,BYFJORDEN,29,umol/l,58.33333,11.88333,20,20
2020,10,10/5/2020,BYFJORDEN,188,umol/l,58.33333,11.88333,30,30
2020,10,10/5/2020,BYFJORDEN,300,umol/l,58.33333,11.88333,40,40
2020,10,10/5/2020,BYFJORDEN,300,umol/l,58.33333,11.88333,43,43
2020,8,8/31/2020,BYFJORDEN,13,umol/l,58.33333,11.88333,20,20
2020,8,8/31/2020,BYFJORDEN,180,umol/l,58.33333,11.88333,30,30
2020,8,8/31/2020,BYFJORDEN,300,umol/l,58.33333,11.88333,40,40
2020,8,8/31/2020,BYFJORDEN,300,umol/l,58.33333,11.88333,44,44
2020,8,8/31/2020,HAVSTENSFJORD,4,umol/l,58.3125,11.77333,30,30
2020,8,8/31/2020,HAVSTENSFJORD,4,umol/l,58.3125,11.77333,38,38
2020,8,8/3/2020,BYFJORDEN,155,umol/l,58.33333,11.88333,30,30
2020,8,8/3/2020,BYFJORDEN,213,umol/l,58.33333,11.88333,40,40
2020,8,8/3/2020,BYFJORDEN,300,umol/l,58.33333,11.88333,44,44
2021,10,10/3/2021,BYFJORDEN,178,umol/l,58.33333,11.88333,30,30
2021,10,10/3/2021,BYFJORDEN,300,umol/l,58.33333,11.88333,40,40
2021,10,10/3/2021,BYFJORDEN,300,umol/l,58.33333,11.88333,44,44
2021,9,9/6/2021,BYFJORDEN,184,umol/l,58.33333,11.88333,30,30
2021,9,9/6/2021,BYFJORDEN,300,umol/l,58.33333,11.88333,40,40
2021,9,9/6/2021,BYFJORDEN,300,umol/l,58.33333,11.88333,44,44
2021,8,8/2/2021,BYFJORDEN,197,umol/l,58.33333,11.88333,30,30
2021,8,8/2/2021,BYFJORDEN,224,umol/l,58.33333,11.88333,40,40
2021,8,8/2/2021,BYFJORDEN,300,umol/l,58.33333,11.88333,43,43
