year,month,date,station_name,water_temperature,salinity,oxygen,latitude_dd, longitude_dd,depth
2019,10,10/6/2019,BYFJORDEN,11.02,21.96,6.2,58.33333,11.88333,0
2019,10,10/6/2019,BYFJORDEN,14.39,24.74,5.1,58.33333,11.88333,2
2019,10,10/6/2019,BYFJORDEN,15.08,26.48,3,58.33333,11.88333,5
2019,10,10/6/2019,BYFJORDEN,14.05,28.6,0.9,58.33333,11.88333,10
2019,10,10/6/2019,BYFJORDEN,12.74,29.72,0.9,58.33333,11.88333,15
2019,10,10/6/2019,BYFJORDEN,8.34,31.8,0.1,58.33333,11.88333,20
2019,10,10/6/2019,BYFJORDEN,8.83,32.17,0.1,58.33333,11.88333,30
2019,10,10/6/2019,BYFJORDEN,8.92,32.32,0.1,58.33333,11.88333,40
2019,9,9/1/2019,BYFJORDEN,19.15,21.9,6.3,58.33333,11.88333,0
2019,9,9/1/2019,BYFJORDEN,19.15,21.9,6.3,58.33333,11.88333,2
2019,9,9/1/2019,BYFJORDEN,19.14,21.91,6.2,58.33333,11.88333,5
2019,9,9/1/2019,BYFJORDEN,18.07,23.09,4.8,58.33333,11.88333,10
2019,9,9/1/2019,BYFJORDEN,9.85,28.94,1.2,58.33333,11.88333,15
2019,9,9/1/2019,BYFJORDEN,8.26,31.77,0.1,58.33333,11.88333,20
2019,9,9/1/2019,BYFJORDEN,8.89,32.23,0.1,58.33333,11.88333,30
2019,9,9/1/2019,BYFJORDEN,8.93,32.32,0.1,58.33333,11.88333,40
2019,8,8/5/2019,BYFJORDEN,20.4,23.77,5.8,58.33333,11.88333,0
2019,8,8/5/2019,BYFJORDEN,20.4,23.77,5.8,58.33333,11.88333,2
2019,8,8/5/2019,BYFJORDEN,20.31,23.76,5.8,58.33333,11.88333,5
2019,8,8/5/2019,BYFJORDEN,19.7,23.9,5.6,58.33333,11.88333,10
2019,8,8/5/2019,BYFJORDEN,8.88,29.11,2.4,58.33333,11.88333,15
2019,8,8/5/2019,BYFJORDEN,8.3,31.8,0.1,58.33333,11.88333,20
2019,8,8/5/2019,BYFJORDEN,8.87,32.18,0.1,58.33333,11.88333,30
2019,8,8/5/2019,BYFJORDEN,8.95,32.34,0.1,58.33333,11.88333,40
2020,10,10/5/2020,BYFJORDEN,14.68,23.16,5.9,58.33333,11.88333,0
2020,10,10/5/2020,BYFJORDEN,14.58,23.84,5.8,58.33333,11.88333,2
2020,10,10/5/2020,BYFJORDEN,14.96,25.08,4.7,58.33333,11.88333,5
2020,10,10/5/2020,BYFJORDEN,15.07,26.52,2.8,58.33333,11.88333,10
2020,10,10/5/2020,BYFJORDEN,12.22,27.84,0.5,58.33333,11.88333,15
2020,10,10/5/2020,BYFJORDEN,8.79,31.18,0.1,58.33333,11.88333,20
2020,10,10/5/2020,BYFJORDEN,8.8,32.16,0.1,58.33333,11.88333,30
2020,10,10/5/2020,BYFJORDEN,8.76,32.21,0.1,58.33333,11.88333,40
2020,9,9/28/2020,BYFJORDEN,15.31,23.17,5.8,58.33333,11.88333,0
2020,9,9/28/2020,BYFJORDEN,15.19,23.62,5.8,58.33333,11.88333,2
2020,9,9/28/2020,BYFJORDEN,15.27,24.39,4.9,58.33333,11.88333,5
2020,9,9/28/2020,BYFJORDEN,15.06,25.98,2.6,58.33333,11.88333,10
2020,9,9/28/2020,BYFJORDEN,12.13,27.51,0.6,58.33333,11.88333,15
2020,9,9/28/2020,BYFJORDEN,8.74,31.16,0.1,58.33333,11.88333,20
2020,9,9/28/2020,BYFJORDEN,8.81,32.19,0.1,58.33333,11.88333,30
2020,9,9/16/2020,BYFJORDEN,8.76,32.24,0.1,58.33333,11.88333,40
