Year,Month,Sampling date,Station_name,Parameter,Value,Unit,Sample latitude (DD),Sample longitude (DD),Depth
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,11.02,C,58.33333,11.88333,0
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,14.39,C,58.33333,11.88333,2
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,15.08,C,58.33333,11.88333,5
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,14.05,C,58.33333,11.88333,10
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,12.74,C,58.33333,11.88333,15
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,8.34,C,58.33333,11.88333,20
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,8.83,C,58.33333,11.88333,30
2019,10,10/6/2019,BYFJORDEN,Temperature CTD,8.92,C,58.33333,11.88333,40
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,19.15,C,58.33333,11.88333,0
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,19.15,C,58.33333,11.88333,2
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,19.14,C,58.33333,11.88333,5
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,18.07,C,58.33333,11.88333,10
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,9.85,C,58.33333,11.88333,15
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,8.26,C,58.33333,11.88333,20
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,8.89,C,58.33333,11.88333,30
2019,9,9/1/2019,BYFJORDEN,Temperature CTD,8.93,C,58.33333,11.88333,40
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,20.4,C,58.33333,11.88333,0
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,20.4,C,58.33333,11.88333,2
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,20.31,C,58.33333,11.88333,5
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,19.7,C,58.33333,11.88333,10
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,8.88,C,58.33333,11.88333,15
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,8.3,C,58.33333,11.88333,20
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,8.87,C,58.33333,11.88333,30
2019,8,8/5/2019,BYFJORDEN,Temperature CTD,8.95,C,58.33333,11.88333,40
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,14.68,C,58.33333,11.88333,0
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,14.58,C,58.33333,11.88333,2
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,14.96,C,58.33333,11.88333,5
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,15.07,C,58.33333,11.88333,10
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,12.22,C,58.33333,11.88333,15
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,8.79,C,58.33333,11.88333,20
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,8.8,C,58.33333,11.88333,30
2020,10,10/5/2020,BYFJORDEN,Temperature CTD,8.76,C,58.33333,11.88333,40
2020,9,9/28/2020,BYFJORDEN,Temperature CTD,15.31,C,58.33333,11.88333,0
2020,9,9/28/2020,BYFJORDEN,Temperature CTD,15.19,C,58.33333,11.88333,2
2020,9,9/28/2020,BYFJORDEN,Temperature CTD,15.27,C,58.33333,11.88333,5
2020,9,9/28/2020,BYFJORDEN,Temperature CTD,15.06,C,58.33333,11.88333,10
2020,9,9/28/2020,BYFJORDEN,Temperature CTD,12.13,C,58.33333,11.88333,15
2020,9,9/28/2020,BYFJORDEN,Temperature CTD,8.74,C,58.33333,11.88333,20
2020,9,9/28/2020,BYFJORDEN,Temperature CTD,8.81,C,58.33333,11.88333,30
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,8.76,C,58.33333,11.88333,40
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,17.02,C,58.33333,11.88333,0
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,17.11,C,58.33333,11.88333,2
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,17.07,C,58.33333,11.88333,5
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,16.34,C,58.33333,11.88333,10
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,12.16,C,58.33333,11.88333,15
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,8.76,C,58.33333,11.88333,20
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,8.79,C,58.33333,11.88333,30
2020,9,9/16/2020,BYFJORDEN,Temperature CTD,8.77,C,58.33333,11.88333,40
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,19.32,C,58.33333,11.88333,0
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,19.22,C,58.33333,11.88333,2
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,19.25,C,58.33333,11.88333,5
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,17.41,C,58.33333,11.88333,10
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,12.22,C,58.33333,11.88333,15
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,8.76,C,58.33333,11.88333,20
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,8.8,C,58.33333,11.88333,30
2020,8,8/31/2020,BYFJORDEN,Temperature CTD,8.76,C,58.33333,11.88333,40
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,19.02,C,58.33333,11.88333,0
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,19,C,58.33333,11.88333,2
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,18.8,C,58.33333,11.88333,5
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,17.54,C,58.33333,11.88333,10
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,9.94,C,58.33333,11.88333,15
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,8.77,C,58.33333,11.88333,20
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,8.82,C,58.33333,11.88333,30
2020,8,8/3/2020,BYFJORDEN,Temperature CTD,8.77,C,58.33333,11.88333,40
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,14.23,C,58.33333,11.88333,0
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,14.41,C,58.33333,11.88333,2
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,14.36,C,58.33333,11.88333,5
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,15.34,C,58.33333,11.88333,10
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,11.97,C,58.33333,11.88333,15
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,8.12,C,58.33333,11.88333,20
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,8.66,C,58.33333,11.88333,30
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,8.7,C,58.33333,11.88333,40
2021,10,10/3/2021,BYFJORDEN,Temperature CTD,8.69,C,58.33333,11.88333,44
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,16.76,C,58.33333,11.88333,0
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,16.75,C,58.33333,11.88333,2
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,16.73,C,58.33333,11.88333,5
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,11.81,C,58.33333,11.88333,10
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,12.48,C,58.33333,11.88333,15
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,7.96,C,58.33333,11.88333,20
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,8.66,C,58.33333,11.88333,30
2021,9,9/6/2021,BYFJORDEN,Temperature CTD,8.71,C,58.33333,11.88333,40
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,20.41,C,58.33333,11.88333,0
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,20.46,C,58.33333,11.88333,2
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,21.04,C,58.33333,11.88333,5
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,20.73,C,58.33333,11.88333,10
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,8.72,C,58.33333,11.88333,15
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,7.82,C,58.33333,11.88333,20
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,8.7,C,58.33333,11.88333,30
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,8.72,C,58.33333,11.88333,40
2021,8,8/2/2021,BYFJORDEN,Temperature CTD,8.69,C,58.33333,11.88333,43
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,12.15,C,58.33333,11.88333,0
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,11.93,C,58.33333,11.88333,2
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,12.36,C,58.33333,11.88333,5
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,12.81,C,58.33333,11.88333,10
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,11.7,C,58.33333,11.88333,15
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,9.59,C,58.33333,11.88333,20
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,8.56,C,58.33333,11.88333,30
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,8.57,C,58.33333,11.88333,40
2022,10,10/31/2022,BYFJORDEN,Temperature CTD,8.56,C,58.33333,11.88333,44
2022,10,10/2/2022,BYFJORDEN,Temperature CTD,13.24,C,58.33333,11.88333,0
