name,datetime,humidity,precip,precipcover,preciptype,sealevelpressure,temp,windspeed,windgust,winddir,cloudcover,conditions,description
uddevalla,8/1/2019,72.3,0.021,4.17,rain,1017.9,16,15.7,25.2,45.5,47.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
uddevalla,8/2/2019,71.3,0,0,,1014.9,18.3,14.8,27.8,283.7,10.3,Clear,Clear conditions throughout the day.
uddevalla,8/3/2019,78.9,0,0,,1013.9,17.8,12.7,22.5,291.8,46.2,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/4/2019,82.3,0,0,,1012.8,16.9,14.8,23.7,254.6,73.1,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/5/2019,77.9,0.008,4.17,rain,1009.9,16.3,12.6,23.9,222.6,71.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
uddevalla,8/6/2019,88.9,6.108,54.17,rain,1004.7,16.6,23.3,36.5,220.9,69.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/7/2019,86.2,1.919,29.17,rain,1003,16.5,16.3,32.4,213.6,55.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/8/2019,81.1,0.873,29.17,rain,1003,16.9,15,23.1,232.3,62.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/9/2019,76.8,0.017,4.17,rain,1008.5,17.6,15.5,20.3,257.1,16,Rain,Clear conditions throughout the day with early morning rain.
uddevalla,8/10/2019,92.8,14.824,66.67,rain,1005.3,16.3,27.2,61.2,139.1,79.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/11/2019,91.3,10.643,79.17,rain,1004.7,16.5,27.4,51.5,215,77.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/12/2019,85,1.813,33.33,rain,1006.8,16.7,24.6,52.4,219.2,65.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/13/2019,72.3,0,0,,1007.1,15.5,30.4,57.6,236.1,26.9,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/14/2019,67.4,0.083,4.17,rain,1009.1,14.8,26.9,53.5,248,13.6,Rain,Clear conditions throughout the day with late afternoon rain.
uddevalla,8/15/2019,81.3,0.2,12.5,rain,1009.6,14.1,24.8,45.7,161.6,55.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
uddevalla,8/16/2019,84.9,0.174,20.83,rain,1009,15.4,20.4,44.2,217.4,81.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/17/2019,92.3,7.287,58.33,rain,1005.9,14.6,27.3,55.3,164.8,74.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/18/2019,89.4,2.971,29.17,rain,1003.4,15.6,17.4,30.2,208.5,62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/19/2019,86.4,1.212,45.83,rain,1007,15.1,22.5,47.2,218.3,49.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/20/2019,84.5,1.122,29.17,rain,1015.7,15.2,22.2,35.7,222.8,44.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/21/2019,76.1,0.139,12.5,rain,1021.9,14.7,23.3,38.8,239.2,30.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
uddevalla,8/22/2019,87.6,7.154,41.67,rain,1023.4,14.5,22.7,57.6,206.9,60.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
